ID,Type,ActorName,Face,Speech
1_Start_20,Standard,쿠말,1,하지만 별자리가 틀어지고 나서부터 이상 현상이 일어났네. 잘만 작동했던 티비나 라디오들이 하나. 둘 망가지기 시작했네.
1_Start_21,Standard,쿠말,1,마을을 순찰하면 나에게 기계를 봐달라고 하는 사람들이 매일같이 늘어났었지.
1_Start_22,Standard,쿠말,1,마을 주민들이 내가 기계 고치는 것을 좋아하는 걸 알거든….. 하지만 나는 고치는 걸 좋아하지 잘 고치진 못하네. 그래도 원인을 알아냈지. 무슨 이유일 것 같나?
1_Start_23,Ask,Player,0,아무런 힌트도 없이 제가 어떻게 맞추죠?
1_Start_24,Ask,Player,0,잘 모르겠네요. 하지만 훌륭하신 촌장님인 쿠말 아저씨는 알고 계시겠죠? 알려주세요!
1_Start_25,Answer_End,쿠말,1,"쯧쯧, 젊은이들이 이리 생각을 안 하고 사니 사회가 발전을 못하는 거지."
1_Start_26,Answer_End,쿠말,2,"허허, _Player_(이)가 아주 사회생활을 잘 하겠어."
1_Start_27,Standard,쿠말,2,바로 전파를 이용하는 기계들만 고장이 나는 걸세. 별자리가 틀어지고 전파가 바뀌었나 보다 하고 전파를 다른 걸로 잡아보라고 했었네.
1_Start_28,Standard,쿠말,1,약간의 걱정은 있었지만 우리 양자리는 바닥에서부터 성장해 올라온 별자리이니 잘 이겨낼 거라 생각했네. 큰 오산이었지…….
1_Start_29,Standard,쿠말,1,"그리고 며칠이 지나자 앞집, 옆집, 뒷집, 건너편 집…  양자리 전체 주민들이 무기력증에 빠지기 시작했네."
1_Start_30,Standard,쿠말,1,"한 명, 두 명 작업장에 나오지 않고, 심지어는 길거리조차 나오지 않고, 먹는 것도 포기한 주민이 있었네."
1_Start_31,Standard,Player,0,그렇군요. 생각보다 심각하네요.
1_Start_32,Standard,쿠말,1,그렇네. 지금까지는 전에 양털을 팔고 남은 돈으로 힘겹게 살아봤는데 이제는 그 돈조차 다 떨어졌네.
1_Start_33,Standard,쿠말,1,선진국이었던 우리 양자리가 다시 개발도상국 신세가 되겠어. 염치없지만 부탁하네! 우리를 도와주겠나?
1_Start_34,Ask,Player,0,네! 도움이 될진 모르겠지만 도와드릴게요!
1_Start_35,Ask,Player,0,네? 그게 무슨 말이세요? 제가 왜 도와드려야 하죠?
1_Start_36,Answer_End,쿠말,3,고맙네! 이렇게 믿음직할 수가! 역시 우주선이 고른 영웅다워~!
1_Start_37,Answer_End,쿠말,1,요새 젊은이들은 이렇게 정이 없어서야. 사회가 이 모양이지. 비협조적이면 집에 못 돌아갈걸세.
1_Start_38,Standard,Player,0,알겠습니다! 그럼 별자리를 돌리기 위해 전 뭘 해야 하나요?
1_Start_39,Standard,쿠말,1,그건 내가 시도하면서 알아낸 부분과 함께 알려주겠네.
1_Start_40,Standard,Tutorial,0,null
1_Start_41,Standard,쿠말,2,아주 잘 따라와 주었네. 이제 실전일세. 잘 부탁하네.
1_Start_42,Ask,Player,0,네!
1_Start_43,Ask,Player,0,아직 자신 없어요.
1_Start_44,Answer_End,쿠말,1,게임 시작
1_Start_45,Answer_End,쿠말,2,"자네는 할 수 있네, 바로 게임을 시작하지"
1_End_1,Standard,쿠말,2,고맙네! 자네 덕분에 사람들이 무기력증에서 벗어나고 있는 것 같네.
1_End_2,Standard,Player,0,다행이네요. 그럼 저는 이제 집으로 갈 수 있는 건가요?
1_End_3,Standard,쿠말,1,자네가 바쁘다면 어쩔 수 없겠지만….. 우리 별자리뿐만 아니라 다른 별자리들도 상황이 좋지 않네….
1_End_4,Ask,Player,0,"저런, 그래서 집에는 어떻게 가는 거죠?"
1_End_5,Ask,Player,0,아…… 그럼 도와드릴게요.
1_End_6,Answer_End,쿠말,1,하아…. 도와준다고 하기 전에는 못 가네. 이런 친구가 우리의 용사라니…..
1_End_7,Answer_End,쿠말,3,고맙네! 역시 우리의 용사일세.
1_End_8,Standard,쿠말,1,자네가 만약 모든 별자리의 위치를 제자리로 돌려준다면 우리 별자리가 자네의 힘이 되겠네!
1_End_9,Standard,Player,0,네. 한번 해보겠습니다. 이제 저는 어디로 가야 하나요?
1_End_10,Standard,쿠말,1,우주선이 알아서 데려가 줄걸세. 우주선에 타게나. 아마 다음은 황소자리일걸세. 황소자리에 가면 타우루스를 찾아가게. 내가 친아들처럼 키웠던 아이인데 내 얘기를 하면 잘 대해 줄걸세.
1_End_11,Standard,쿠말,1,가서 안부도 좀 물어봐 주게나…. 잘 지내는지…. 아픈 곳은 없는지….
1_End_12,Standard,Player,0,네! 다음에 또 올게요.
1_End_13,Standard,쿠말,2,"그래, 고민이 있거든 들리거라. 내가 고민 들어주는 건 좋아하네. 기다리고 있겠네."
2_Start_1,Standard,Player,0,안녕하세요! 혹시 타우루스님이세요?
2_Start_2,Standard,타우루스,1,"그래, 내가 타우루스인데? 자네는 누구인가?"
2_Start_3,Standard,Player,0,저는 _Player_입니다. 양자리의 쿠말 아저씨가 찾아가 보라고 하셔서 왔습니다.
2_Start_4,Standard,타우루스,2,"그렇구먼, 영감님은 잘 지내시고?"
2_Start_5,Standard,Player,0,걱정이 많아 보이셨는데 별자리가 제자리를 찾으니 조금은 괜찮아 보이시더라고요. 타우루스님 안부도 물으셨어요!
2_Start_6,Standard,타우루스,1,영감은 똑같구먼. 그런데 양자리의 별자리가 어떻게 제자리를 찾았나?
2_Start_7,Ask,Player,0,이걸… 맨입으로 아시려고요?
2_Start_8,Ask,Player,0,제가 도와드렸습니다!
2_Start_9,Answer_1,타우루스,1,"하하 하하, 나에게 장난을 치다니…. 뭘 드리면 될까요?"
2_Start_10,Answer_1,타우루스,3,자네가……?
2_Start_11,Answer_End,Player,0,장난입니다! 제가 도와드렸습니다.
2_Start_12,Answer_End,Player,0,네! 믿지 못하시는 것 같네요.
2_Start_13,Standard,타우루스,3,그럼…. 자네가 우리가 찾던 용사인가?
2_Start_14,Standard,Player,0,쿠말아저씨도 저보고 용사라고 말씀하시긴 했는데… 용사가 뭐죠?
2_Start_15,Standard,타우루스,1,혹시 자네 지구라는 곳에서 우주선의 선택을 받고 온 것인가?
2_Start_16,Standard,Player,0,네.
2_Start_17,Standard,타우루스,1,모든 별자리에는 내려오는 예언이 하나 있네. <지구라는 곳에서 우주선을 타고 온 자가우주의 종말을 막는다.>는 예언이지.
2_Start_18,Standard,타우루스,1,하지만 난 믿지 않았네! 쿠말영감은 나한테 믿으라고 했지만 언제 올지 모르는 사람을 계속 기다리고 있을 수 없지 않겠나.
2_Start_19,Standard,타우루스,1,내 주변 사람들은 내가 지키려고 했지만…. 지키진 못했네.
2_Start_20,Standard,타우루스,1,"드넓었던 초원은 비가 오지 않자 다 말라가고, 우리 황소자리의 트레이드마크인 초원은 더 이상 볼품 없어져 관광객들도 안 와 돈도 벌 수 없었네."
2_Start_21,Standard,Player,0,이제 용사인 제가 왔으니 별자리를 제자리로 돌려 다시 비가 오게 할 수 있지 않을까요?
2_Start_22,Standard,타우루스,1,쿠말영감의 인정을 받았다면 믿을 만한 친구인 거 같은데…. 할 수 있겠나? 우리 황소자리 주민들도 모두 나서서 별자리를 돌려보려 했지만 다 실패로 돌아갔네.
2_Start_23,Standard,Player,0,한 번 해봤으니 잘 할 수 있을 거 같아요!
2_Start_24,Standard,타우루스,2,당돌한 친구일세! 도움을 좀 주겠네. 우리 황소자리는 별자리가 틀어진 후 가뭄이 너무 심해 땅이 깨져있으니 조심하게나. 무운을 빌지.
2_End_1,Standard,타우루스,1,고맙다는 말 밖에 못 하겠구먼.
2_End_2,Standard,타우루스,3,비가 조금씩 내리는 것이…… 보고만 있어도 놀라워.
2_End_3,Standard,Player,0,이 정도야~ 가뿐하죠!
2_End_4,Standard,타우루스,1,"허허허, 역시 쿠말영감의 보는 눈은 인정해 줘야 한다니까"
2_End_5,Standard,Player,0,근데 무슨 일로 별자리가 틀어진 거죠?
2_End_6,Standard,타우루스,1,하지만 어느 날 황도 12궁에 들어가지 못했던 뱀주인자리의 지도자 레비아탄의 등장으로 모든 게 꼬였지.
2_End_7,Standard,타우루스,1,레비아탄은 질투심이 강해 자신을 빼돌리고 황도 12궁을 만들었다고 생각해 복수를 하기 위해 혼자 힘을 키우고 있었네.
2_End_8,Standard,타우루스,1,힘을 어느 정도 모았다고 생각했는지 가질 수 없다면 부신다고 하면서 별자리들을 다 틀어놓고 다녔네….
2_End_9,Standard,타우루스,4,감히! 이기적인 새$)#%*$@$(#*%#(Q#$)
2_End_10,Standard,타우루스,1,"아… 미안하네, 나도 모르게 가끔 이럴 때가 있네. 이해해 주게 허허허"
2_End_11,Standard,Player,0,네…. 괜찮습니다. 그럼 이 상황이 레비아탄 한 명 때문에 이렇게 된 거라고요?
2_End_12,Standard,타우루스,1,"그래, 레비아탄은 만만하게 볼 상대가 아니야. 별자리를 틀어서 우주의 흐름을 깨려고 하는 괴물이야. 이 자 때문에 삶이 망가진 자들이 한 둘이 아니야."
2_End_13,Standard,타우루스,4,아주… 내가 만나기만 하면…!!!!!!!!!!
2_End_14,Ask,Player,0,진정하세요!
2_End_15,Ask,Player,0,오~ 무섭다.
2_End_16,Answer,타우루스,1,이런… 또 실례를 끼쳤네.
2_End_17,Answer,타우루스,1,후우….. 전혀 무서워하지 않는 것 같네. 그래도 덕분에 진정이 되는구먼.
2_End_18,Standard,Player,0,레비아탄에게 할 말이 많으실 거 같은데… 혹시 마주쳐 싸우게 된다면 저에게 힘을 보태주실 거죠?
2_End_19,Standard,타우루스,3,당연하지! 기다리고 있을 테니 언제든지 연락 주게나!
2_End_20,Standard,타우루스,3,그전에도 종종 연락 주게! 사소한 고민도 좋으니 얘기할게 있으면 언제든 들러. 얼른 우주선을 타고 다음 별자리로 나아가게나! 다음에 또 보세.
